name,id
"Count of Household: 50,000 - 74,999 Inflation Adjusted USD_Current Year, With Income",Count_Household_IncomeOf50000To74999InflationAdjustedUSDCurrentYear
"Count of Household: 75,000 - 99,999 Inflation Adjusted USD_Current Year, With Income",Count_Household_IncomeOf75000To99999InflationAdjustedUSDCurrentYear
"Count of Household: Married Couple Family Household, Below Poverty Level in The Past 12 Months",Count_Household_MarriedCoupleFamilyHousehold_BelowPovertyLevelInThePast12Months
Count of Household: No Health Insurance,Count_Household_NoHealthInsurance
"Count of Household: No Health Insurance, 100,000 USD or More",Count_Household_NoHealthInsurance_IncomeOf100000OrMoreUSDollar
"Count of Household: No Health Insurance, 25,000 USD or Less",Count_Household_NoHealthInsurance_IncomeOf25000OrLessUSDollar
"Count of Household: No Health Insurance, 25,000 - 49,999 USD",Count_Household_NoHealthInsurance_IncomeOf25000To49999USDollar
"Count of Household: No Health Insurance, 75,000 - 99,999 USD",Count_Household_NoHealthInsurance_IncomeOf75000To99999USDollar
"Count of Household: Single Mother Family Household, Below Poverty Level in The Past 12 Months",Count_Household_SingleMotherFamilyHousehold_BelowPovertyLevelInThePast12Months
Count of Household: With Food Stamps in The Past 12 Months,Count_Household_WithFoodStampsInThePast12Months
"Count of Household: With Food Stamps in The Past 12 Months, Above Poverty Level in The Past 12 Months",Count_Household_WithFoodStampsInThePast12Months_AbovePovertyLevelInThePast12Months
"Count of Household: With Food Stamps in The Past 12 Months, American Indian or Alaska Native Alone",Count_Household_WithFoodStampsInThePast12Months_AmericanIndianOrAlaskaNativeAlone
"Count of Household: With Food Stamps in The Past 12 Months, Asian Alone",Count_Household_WithFoodStampsInThePast12Months_AsianAlone
"Count of Household: With Food Stamps in The Past 12 Months, Below Poverty Level in The Past 12 Months",Count_Household_WithFoodStampsInThePast12Months_BelowPovertyLevelInThePast12Months
"Count of Household: With Food Stamps in The Past 12 Months, Black or African American Alone",Count_Household_WithFoodStampsInThePast12Months_BlackOrAfricanAmericanAlone
"Count of Household: With Food Stamps in The Past 12 Months, Family Household",Count_Household_WithFoodStampsInThePast12Months_FamilyHousehold
"Count of Household: With Food Stamps in The Past 12 Months, Hispanic or Latino",Count_Household_WithFoodStampsInThePast12Months_HispanicOrLatino
"Count of Household: With Food Stamps in The Past 12 Months, Married Couple Family Household",Count_Household_WithFoodStampsInThePast12Months_MarriedCoupleFamilyHousehold
"Count of Household: With Food Stamps in The Past 12 Months, Native Hawaiian or Other Pacific Islander Alone",Count_Household_WithFoodStampsInThePast12Months_NativeHawaiianOrOtherPacificIslanderAlone
"Count of Household: With Food Stamps in The Past 12 Months, No Disability",Count_Household_WithFoodStampsInThePast12Months_NoDisability
"Count of Household: With Food Stamps in The Past 12 Months, Nonfamily Household",Count_Household_WithFoodStampsInThePast12Months_NonfamilyHousehold
"Count of Household: With Food Stamps in The Past 12 Months, One Race",Count_Household_WithFoodStampsInThePast12Months_OneRace
"Count of Household: With Food Stamps in The Past 12 Months, Other Family Household",Count_Household_WithFoodStampsInThePast12Months_OtherFamilyHousehold
"Count of Household: With Food Stamps in The Past 12 Months, Single Father Family Household",Count_Household_WithFoodStampsInThePast12Months_SingleFatherFamilyHousehold
"Count of Household: With Food Stamps in The Past 12 Months, Single Mother Family Household",Count_Household_WithFoodStampsInThePast12Months_SingleMotherFamilyHousehold
"Count of Household: With Food Stamps in The Past 12 Months, Some Other Race Alone",Count_Household_WithFoodStampsInThePast12Months_SomeOtherRaceAlone
"Count of Household: With Food Stamps in The Past 12 Months, Two or More Races",Count_Household_WithFoodStampsInThePast12Months_TwoOrMoreRaces
"Count of Household: With Food Stamps in The Past 12 Months, White Alone",Count_Household_WithFoodStampsInThePast12Months_WhiteAlone
"Count of Household: With Food Stamps in The Past 12 Months, White Alone Not Hispanic or Latino",Count_Household_WithFoodStampsInThePast12Months_WhiteAloneNotHispanicOrLatino
"Count of Household: With Food Stamps in The Past 12 Months, With Children Under 18",Count_Household_WithFoodStampsInThePast12Months_WithChildrenUnder18
"Count of Household: With Food Stamps in The Past 12 Months, With Disability",Count_Household_WithFoodStampsInThePast12Months_WithDisability
"Count of Household: With Food Stamps in The Past 12 Months, With People Over 60",Count_Household_WithFoodStampsInThePast12Months_WithPeopleOver60
"Count of Household: With Food Stamps in The Past 12 Months, Without Children Under 18",Count_Household_WithFoodStampsInThePast12Months_WithoutChildrenUnder18
"Count of Household: With Food Stamps in The Past 12 Months, Without People Over 60",Count_Household_WithFoodStampsInThePast12Months_WithoutPeopleOver60
"Count of Household: With SSIAnd or Cash Assistance in The Past 12 Months, Family Household",Count_Household_WithSSIAndOrCashAssistanceInThePast12Months_FamilyHousehold
"Count of Household: With SSIAnd or Cash Assistance in The Past 12 Months, Married Couple Family Household",Count_Household_WithSSIAndOrCashAssistanceInThePast12Months_MarriedCoupleFamilyHousehold
"Count of Household: With SSIAnd or Cash Assistance in The Past 12 Months, Single Mother Family Household",Count_Household_WithSSIAndOrCashAssistanceInThePast12Months_SingleMotherFamilyHousehold
"Count of Household: With Social Security Income in The Past 12 Months, Family Household",Count_Household_WithSocialSecurityIncomeInThePast12Months_FamilyHousehold
